English,Telugu,Hindi Translation
English,Telugu,तेलुगू
A blessing in disguise,"తొలుత చెడు లాగా అనిపించినా, చివరికి మంచిగా మారినది",पहले तो यह बुरा लग रहा था लेकिन अंततः अच्छा निकला
Break the ice,పరిచయం లేని చోట సంభాషణ మొదలుపెట్టడం,एक बातचीत शुरू करना जहां अनुपचारित
Hit the nail on the head,సమస్యకు సరైన కారణాన్ని చెప్పడం,समस्या का सही कारण बताने के लिए
Burn the midnight oil,రాత్రి వేళల్లో కష్టపడుతూ పని చేయడం,मरना
Let the cat out of the bag,రహస్యాన్ని పొరపాటున బయటపెట్టడం,गलती से रहस्य प्रकट करने के लिए
Once in a blue moon,చాలా అరుదుగా జరిగే విషయం,कुछ ऐसा होता है जो बहुत कम होता है
The ball is in your court,నిర్ణయం తీసుకోవాల్సింది నువ్వే,आपको एक निर्णय लेना होगा
When pigs fly,అసలు జరగని విషయం,बात यह नहीं होती है
Bite the bullet,కష్టాన్ని ధైర్యంగా ఎదుర్కోవడం,कठिनाई की कठिनाई का सामना करने के लिए
Kill two birds with one stone,ఒక పనితో రెండు ప్రయోజనాలు పొందడం,एक कार्य के साथ दो लाभ प्राप्त करें
Piece of cake,చాలా ఈజీగా చేయగల పని,वह कार्य जिसे बहुत आसान किया जा सकता है
Cry over spilt milk,జరిగిన దాన్ని గురించి వాపోవడం,क्या हुआ
Under the weather,ఆరోగ్యం బాగోలేకపోవడం,स्वास्थ्य अपर्याप्त है
Costs an arm and a leg,చాలా ఖరీదైనది,बहुत महँगा
Hit the sack,నిద్రపోవడం,सोने के लिए
Cut corners,తక్కువ ఖర్చుతో పని జరిపించడం,कम लागत पर काम करना
Add fuel to the fire,సమస్యను మరింత పెంచడం,समस्या बढ़ रही है
At the drop of a hat,"వెంటనే, ఆలస్యం లేకుండా","तुरंत, बिना देरी के"
Back to the drawing board,మళ్లీ మొదటి నుండి మొదలుపెట్టడం,फिर से खरोंच से शुरू
Ballpark figure,అంచనా సంఖ్య,अनुमानित संख्या
Best of both worlds,రెండు మంచి ప్రయోజనాలు కలగడం,दोनों अच्छे लाभ हैं
Burn bridges,తిరిగి సంబంధాలు లేకుండా చేయడం,बिना पुन: प्रासंगिक लोगों के लिए कर रहे हैं
Call it a day,పనిని ఆ రోజు వరకు ఆపడం,उस दिन तक काम को रोकना
Caught between a rock and a hard place,రెండు కష్టాల్లో ఇరుక్కుపోవడం,दो कठिनाइयों में फंस गया
Cut to the chase,అవసరంలేని మాటలు వదిలి ముఖ్య విషయానికి రావడం,अनावश्यक शब्दों को छोड़कर ऊँची एड़ी के जूते पर आ रहा है
Devil’s advocate,ఉద్దేశపూర్వకంగా వ్యతిరేకంగా మాట్లాడే వ్యక్తి,एक व्यक्ति जो जानबूझकर बोलता है
Don’t put all your eggs in one basket,ఒకే అవకాశంపై ఆధారపడకపోవడం,एक ही अवसर पर भरोसा न करें
Every cloud has a silver lining,ప్రతికూలంలోనూ ఒక మంచితనం ఉంటుంది,नकारात्मक में एक अच्छाई होगी
Face the music,ఫలితాన్ని ధైర్యంగా ఎదుర్కోవడం,बोल्डली के परिणाम का सामना करने के लिए
Feeling under the weather,అస్వస్థంగా అనిపించడం,बीमार होना
Get cold feet,చివరి నిమిషంలో భయపడటం,अंतिम समय पर डर
Give the benefit of the doubt,ఎవరైనా నిజం చెబుతున్నారని నమ్మడం,यह मानते हुए कि कोई सच कह रहा है
Go the extra mile,అదనంగా శ్రమించడం,श्रम के अलावा
Hit the books,బాగా చదవడం,अच्छी तरह से पढ़ना
In hot water,కష్టాల్లో పడటం,मुसीबत में पड़ने के लिए
In the nick of time,సరైన సమయానికి,सही समय तक
Jump on the bandwagon,పాపులర్ విషయానికి వెంటనే చేరడం,लोकप्रिय विषय में तुरंत शामिल होना
Keep your chin up,ధైర్యంగా ఉండడం,बहादुर होना
Last straw,ఇక సహించలేని పరిస్థితి,ऐसी स्थिति जिसे अब बर्दाश्त नहीं किया जा सकता है
Leave no stone unturned,అన్నీ ప్రయత్నించడం,सब कुछ आजमाना
Miss the boat,అవకాశం కోల్పోవడం,मौका खोना
On thin ice,ప్రమాదకరమైన పరిస్థితిలో ఉండడం,एक खतरनाक स्थिति में होना
Pull someone’s leg,ఆటపట్టించడం,खेलना
Put yourself in someone’s shoes,వేరొకరి పరిస్థితిని అర్థం చేసుకోవడం,किसी और की स्थिति को समझने के लिए
Raining cats and dogs,గట్టిగా వర్షం పడటం,कसकर बारिश करना
Rome wasn’t built in a day,పెద్ద పనులు ఒక్కరోజులో జరగవు,एक ही दिन में बड़ी चीजें नहीं होती हैं
See eye to eye,ఒకే అభిప్రాయంలో ఉండడం,एक ही राय में होना
Sit on the fence,ఏ వైపు నిర్ణయం తీసుకోకపోవడం,किसी भी तरफ निर्णय लेने के लिए नहीं
Speak of the devil,ఎవరినైనా చెప్పగానే వారు రావడం,वे आ रहे हैं जब कोई कहता है
Take with a grain of salt,పూర్తిగా నమ్మకపోవడం,पूरी तरह से भरोसा नहीं है
Taste of your own medicine,మనం చేసినట్లే మనకూ జరగడం,जैसा कि हमने हमारे साथ किया है
Throw in the towel,ఓటమిని అంగీకరించడం,हार स्वीकार करना
Through thick and thin,అన్ని పరిస్థితుల్లోనూ,हर हाल में
Time flies,సమయం వేగంగా గడుస్తుంది,समय तेज है
To feel blue,బాధగా ఉండడం,दु: खी होना
To hit the road,ప్రయాణం మొదలుపెట్టడం,यात्रा पर शुरू
Too good to be true,నిజం అనిపించనంత మంచి విషయం,एक अच्छी बात जो सच नहीं लगती
Touch wood,దురదృష్టం రాకుండా జాగ్రత్తగా చెప్పడం,दुर्भाग्य से सावधानी से कहने के लिए
Turn a blind eye,చూడనట్టుగా మానుకోవడం,न देखने से बचें
Up in the air,ఇంకా నిర్ణయం కాలేదు,अभी तक कोई निर्णय नहीं
Walk in the park,చాలా ఈజీ పని,बहुत आसान काम
Wrap your head around something,అర్థం చేసుకోవడానికి కష్టపడటం,समझने में मुश्किल
You can’t judge a book by its cover,బయటి రూపం చూసి తీర్మానం చేయరాదు,बाहरी रूप को हल नहीं किया जाना चाहिए
Zip your lip,నోరు మూసుకోవడం,मुंह बंद करना
Against the clock,సమయం తక్కువగా ఉండడం,समय की कमी होना
All ears,శ్రద్ధగా వినడం,ध्यान से सुनना
At the eleventh hour,చివరి నిమిషంలో,अंतिम मिनट में
Bend over backwards,చాలా కష్టపడి సహాయం చేయడం,बहुत मेहनत से मदद करने के लिए
By the skin of your teeth,త్రుటిలో తప్పించుకోవడం,सत्य में भागना
Cold shoulder,నిర్లక్ష్యం చేయడం,की अनदेखी
Cross your fingers,మంచిదే జరుగుతుందని ఆశించడం,अच्छा होने की उम्मीद है
Cut the mustard,విజయవంతం కావడం,सफल होने के लिए
Down to earth,"వినయంగా, వాస్తవికంగా ఉండడం",विनम्र और यथार्थवादी होना
Drive someone up the wall,ఎవరినైనా చిరాకు తెప్పించడం,किसी को परेशान करना
Eat your words,చెప్పినదాన్ని వెనక్కి తీసుకోవడం,जो कहा जाता है उसे वापस लेना
Eye opener,కొత్తగా తెలిసిన నిజం,एक नया ज्ञात सत्य
Feeling blue,దిగులు పడటం,चिंतित
Fish out of water,అసౌకర్యంగా ఉండడం,असहज होना
Get a taste of your own medicine,మనం చేసినట్లే మనకూ జరగడం,जैसा कि हमने हमारे साथ किया है
Get ducks in a row,అన్నీ సక్రమంగా సిద్ధం చేయడం,तैयार करने के लिए सब अधिकार है
Give someone the cold shoulder,ఎవరినైనా పట్టించుకోకపోవడం,किसी की परवाह मत करो
Go down in flames,పూర్తిగా విఫలమవడం,पूरी तरह से असफल
Go out on a limb,రిస్క్ తీసుకోవడం,जोखिम लेने
Hang in there,ఆగిపోకుండా ధైర్యంగా ఉండడం,बिना रुके बहादुर होना
Have bigger fish to fry,మరింత ముఖ్యమైన పనులు ఉండడం,अधिक महत्वपूर्ण कार्य होना
Hit the jackpot,అదృష్టం కొట్టడం,लकी पीटा
In the loop,సమాచారం లోపల ఉండడం,जानकारी के अंदर होना
It takes two to tango,ఇద్దరూ సమానంగా బాధ్యత వహించాలి,दोनों को समान रूप से जिम्मेदार होना चाहिए
Jump the gun,ముందుగానే తొందరపడి పని చేయడం,अग्रिम काम करने के लिए
Keep an eye on,గమనిస్తూ ఉండడం,अवलोकन करना
Kick the bucket,చనిపోవడం (వాడుకలో),मरना (अप्रचलित में)
Know the ropes,పని గురించి బాగా తెలుసుకోవడం,अच्छी तरह से काम के बारे में पता है
